STATE,STCODE,YEAR,TOTINC,TOTINJ,TOTKLD,VEHAUTO,VEHOTHER,VEHPED,VEHTRUCK
AL,01,2000,97,38,10,50,4,1,42
AL,01,2001,88,26,9,43,4,2,39
AL,01,2002,108,32,13,56,3,3,46
AL,01,2003,81,37,9,42,6,0,33
AL,01,2004,102,34,10,59,7,0,36
AL,01,2005,107,43,17,55,2,0,50
AL,01,2006,116,49,11,52,4,2,58
AL,01,2007,91,34,13,48,3,1,39
AL,01,2008,76,32,10,46,4,2,24
AL,01,2009,65,26,4,28,6,2,29
AL,01,2010,65,27,9,37,1,4,23
AL,01,2011,76,47,11,47,3,3,23
AL,01,2012,80,36,1,50,1,2,27
AL,01,2013,73,40,5,42,1,1,29
AL,01,2014,90,40,15,59,1,2,28
AL,01,2015,82,34,5,50,1,1,30
AL,01,2016,67,40,9,33,4,4,26
AL,01,2017,57,22,8,39,4,4,10
AL,01,2018,71,37,11,46,4,3,18
AL,01,2019,74,33,7,37,3,4,30
AL,01,2020,72,22,3,39,5,1,27
AK,02,2000,2,0,0,1,0,0,1
AK,02,2001,1,1,0,1,0,0,0
AK,02,2002,1,0,0,1,0,0,0
AK,02,2003,1,1,0,1,0,0,0
AK,02,2004,1,0,0,0,0,0,1
AK,02,2005,0,0,0,0,0,0,0
AK,02,2006,0,0,0,0,0,0,0
AK,02,2007,0,0,0,0,0,0,0
AK,02,2008,0,0,0,0,0,0,0
AK,02,2009,3,0,1,3,0,0,0
AK,02,2010,1,0,0,1,0,0,0
AK,02,2011,1,0,0,1,0,0,0
AK,02,2012,1,0,0,1,0,0,0
AK,02,2013,0,0,0,0,0,0,0
AK,02,2014,1,0,0,0,0,0,1
AK,02,2015,2,0,0,0,0,0,2
AK,02,2016,0,0,0,0,0,0,0
AK,02,2017,1,0,0,1,0,0,0
AK,02,2018,0,0,0,0,0,0,0
AK,02,2019,0,0,0,0,0,0,0
AK,02,2020,1,0,0,0,0,0,1
AZ,04,2000,28,13,8,14,4,1,9
AZ,04,2001,26,7,5,10,0,4,12
AZ,04,2002,15,2,0,9,0,0,6
AZ,04,2003,32,3,7,13,2,1,16
AZ,04,2004,27,9,2,15,3,3,6
AZ,04,2005,36,4,2,19,0,2,15
AZ,04,2006,42,9,6,26,2,0,14
AZ,04,2007,35,7,0,13,5,1,16
AZ,04,2008,19,9,1,8,6,1,4
AZ,04,2009,20,5,3,8,1,5,6
AZ,04,2010,25,16,6,10,0,5,10
AZ,04,2011,12,4,4,6,2,0,4
AZ,04,2012,16,4,1,7,3,0,6
AZ,04,2013,20,7,1,11,2,3,4
AZ,04,2014,18,5,0,14,1,2,1
AZ,04,2015,18,7,0,9,1,3,5
AZ,04,2016,21,5,4,12,2,4,3
AZ,04,2017,26,8,5,10,2,8,6
AZ,04,2018,19,6,3,9,1,4,5
AZ,04,2019,12,2,4,6,0,2,4
AZ,04,2020,27,9,6,14,0,8,5
AR,05,2000,104,34,27,56,3,2,43
AR,05,2001,79,36,9,35,2,1,41
AR,05,2002,78,27,14,34,1,1,42
AR,05,2003,71,22,9,32,1,1,37
AR,05,2004,64,28,8,26,2,1,35
AR,05,2005,66,39,6,27,6,1,32
AR,05,2006,72,23,9,23,5,0,44
AR,05,2007,67,31,12,22,7,3,35
AR,05,2008,61,21,7,24,5,2,30
AR,05,2009,42,16,9,21,2,1,18
AR,05,2010,51,20,9,20,8,5,18
AR,05,2011,54,24,4,20,4,5,25
AR,05,2012,50,16,7,25,6,1,18
AR,05,2013,32,17,5,15,3,0,14
AR,05,2014,52,19,6,21,1,3,27
AR,05,2015,45,22,5,21,4,0,20
AR,05,2016,31,21,11,11,1,0,19
AR,05,2017,41,14,11,15,4,1,21
AR,05,2018,39,16,9,21,3,0,15
AR,05,2019,29,13,3,11,1,0,17
AR,05,2020,32,18,2,13,1,0,18
CA,06,2000,146,49,27,90,3,19,34
CA,06,2001,161,44,54,75,7,28,51
CA,06,2002,126,53,29,66,2,14,44
CA,06,2003,131,63,27,63,1,14,53
CA,06,2004,136,50,33,53,8,26,49
CA,06,2005,126,51,21,51,9,26,40
CA,06,2006,141,36,34,64,3,25,49
CA,06,2007,141,73,46,68,5,25,43
CA,06,2008,126,90,25,54,6,38,28
CA,06,2009,110,32,29,34,8,34,34
CA,06,2010,113,73,30,44,4,44,21
CA,06,2011,99,118,27,41,9,29,20
CA,06,2012,104,124,40,36,7,36,25
CA,06,2013,130,70,50,50,2,49,29
CA,06,2014,120,44,40,47,4,42,27
CA,06,2015,128,41,44,47,7,44,30
CA,06,2016,149,62,60,46,13,60,30
CA,06,2017,151,55,45,61,12,54,24
CA,06,2018,163,60,47,67,10,56,30
CA,06,2019,154,65,65,60,9,65,20
CA,06,2020,131,49,39,47,10,45,29
CO,08,2000,32,8,6,16,0,1,15
CO,08,2001,30,10,3,9,2,0,19
CO,08,2002,34,10,6,18,2,0,14
CO,08,2003,28,10,1,11,2,0,15
CO,08,2004,31,14,1,11,2,1,17
CO,08,2005,31,17,5,9,1,3,18
CO,08,2006,39,31,10,17,6,1,15
CO,08,2007,31,11,2,13,1,0,17
CO,08,2008,25,2,7,6,5,1,13
CO,08,2009,19,4,0,8,2,1,8
CO,08,2010,16,6,7,5,0,1,10
CO,08,2011,18,6,2,6,2,2,8
CO,08,2012,15,3,2,7,0,0,8
CO,08,2013,13,5,3,5,0,0,8
CO,08,2014,12,3,0,3,1,1,7
CO,08,2015,18,8,2,8,0,0,10
CO,08,2016,16,11,6,10,2,1,3
CO,08,2017,20,9,5,7,0,3,10
CO,08,2018,23,6,5,8,2,1,12
CO,08,2019,29,14,10,10,1,5,13
CO,08,2020,16,8,3,3,3,3,7
CT,09,2000,7,0,2,1,1,1,4
CT,09,2001,2,2,0,0,0,1,1
CT,09,2002,5,1,2,1,0,1,3
CT,09,2003,2,0,0,1,0,0,1
CT,09,2004,10,5,4,4,0,2,4
CT,09,2005,6,2,3,3,0,0,3
CT,09,2006,8,3,0,4,1,0,3
CT,09,2007,3,4,0,1,0,0,2
CT,09,2008,3,1,0,3,0,0,0
CT,09,2009,5,0,1,4,0,0,1
CT,09,2010,2,1,0,2,0,0,0
CT,09,2011,10,8,1,6,1,0,3
CT,09,2012,1,2,2,1,0,0,0
CT,09,2013,2,1,0,2,0,0,0
CT,09,2014,6,10,0,5,0,0,1
CT,09,2015,1,0,0,0,0,0,1
CT,09,2016,4,1,0,3,0,0,1
CT,09,2017,2,0,0,2,0,0,0
CT,09,2018,4,2,1,2,0,1,1
CT,09,2019,7,1,0,4,1,0,2
CT,09,2020,1,0,0,1,0,0,0
DE,10,2000,9,7,0,7,0,0,2
DE,10,2001,6,0,1,3,0,0,3
DE,10,2002,5,1,2,4,0,0,1
DE,10,2003,6,3,0,2,2,1,1
DE,10,2004,5,5,0,5,0,0,0
DE,10,2005,8,3,1,4,0,2,2
DE,10,2006,6,4,0,4,0,0,2
DE,10,2007,5,3,0,2,1,0,2
DE,10,2008,0,0,0,0,0,0,0
DE,10,2009,4,2,0,3,0,0,1
DE,10,2010,3,3,0,3,0,0,0
DE,10,2011,4,0,0,3,0,0,1
DE,10,2012,2,2,0,0,0,0,2
DE,10,2013,7,1,1,4,0,1,2
DE,10,2014,4,2,1,3,0,1,0
DE,10,2015,5,1,0,4,0,0,1
DE,10,2016,5,4,0,3,1,0,1
DE,10,2017,2,0,0,1,0,0,1
DE,10,2018,4,2,1,3,0,0,1
DE,10,2019,5,3,0,4,0,0,1
DE,10,2020,3,1,0,2,1,0,0
DC,11,2000,1,0,0,0,0,0,1
DC,11,2001,0,0,0,0,0,0,0
DC,11,2002,0,0,0,0,0,0,0
DC,11,2003,0,0,0,0,0,0,0
DC,11,2004,0,0,0,0,0,0,0
DC,11,2005,0,0,0,0,0,0,0
DC,11,2006,0,0,0,0,0,0,0
DC,11,2007,0,0,0,0,0,0,0
DC,11,2008,0,0,0,0,0,0,0
DC,11,2009,0,0,0,0,0,0,0
DC,11,2010,0,0,0,0,0,0,0
DC,11,2011,0,0,0,0,0,0,0
DC,11,2012,0,0,0,0,0,0,0
DC,11,2013,0,0,0,0,0,0,0
DC,11,2014,1,0,0,0,0,0,1
DC,11,2015,1,2,0,0,0,0,1
DC,11,2016,0,0,0,0,0,0,0
DC,11,2017,0,0,0,0,0,0,0
DC,11,2018,0,0,0,0,0,0,0
DC,11,2019,0,0,0,0,0,0,0
DC,11,2020,0,0,0,0,0,0,0
FL,12,2000,95,68,15,60,1,6,28
FL,12,2001,103,34,15,60,2,4,37
FL,12,2002,91,30,16,48,3,4,36
FL,12,2003,98,36,14,57,1,10,30
FL,12,2004,103,35,19,58,3,15,27
FL,12,2005,92,18,17,53,2,13,24
FL,12,2006,102,35,9,60,5,8,29
FL,12,2007,85,62,20,49,5,10,21
FL,12,2008,72,30,25,40,2,7,23
FL,12,2009,44,24,10,26,1,6,11
FL,12,2010,63,41,11,37,3,7,16
FL,12,2011,47,15,7,28,0,8,11
FL,12,2012,55,60,13,26,3,13,13
FL,12,2013,60,18,13,39,0,5,16
FL,12,2014,79,44,10,46,1,7,25
FL,12,2015,72,39,10,39,3,12,18
FL,12,2016,80,54,16,37,4,15,24
FL,12,2017,92,55,24,50,6,15,21
FL,12,2018,93,34,15,46,9,18,20
FL,12,2019,124,59,26,76,11,19,18
FL,12,2020,77,9,20,51,5,15,6
GA,13,2000,131,38,10,71,2,5,53
GA,13,2001,111,47,19,63,1,2,45
GA,13,2002,125,13,5,59,1,2,63
GA,13,2003,102,53,7,53,2,4,43
GA,13,2004,136,41,15,80,3,3,50
GA,13,2005,114,22,12,49,4,3,58
GA,13,2006,115,34,8,62,1,2,50
GA,13,2007,114,46,17,48,7,6,53
GA,13,2008,90,34,8,51,7,3,29
GA,13,2009,99,32,6,57,3,3,36
GA,13,2010,75,30,8,45,3,2,25
GA,13,2011,85,26,6,44,3,2,36
GA,13,2012,68,37,7,37,1,6,24
GA,13,2013,88,58,13,54,3,6,25
GA,13,2014,103,37,9,51,3,1,48
GA,13,2015,88,49,9,40,6,6,36
GA,13,2016,87,24,6,44,5,2,36
GA,13,2017,95,38,4,45,5,4,41
GA,13,2018,102,38,11,53,5,1,43
GA,13,2019,93,34,9,48,9,5,31
GA,13,2020,91,29,10,43,9,3,36
HI,15,2000,0,0,0,0,0,0,0
HI,15,2001,1,0,0,0,0,0,1
HI,15,2002,0,0,0,0,0,0,0
HI,15,2003,0,0,0,0,0,0,0
HI,15,2004,0,0,0,0,0,0,0
HI,15,2005,0,0,0,0,0,0,0
HI,15,2006,0,0,0,0,0,0,0
HI,15,2007,0,0,0,0,0,0,0
HI,15,2008,0,0,0,0,0,0,0
HI,15,2009,0,0,0,0,0,0,0
HI,15,2010,0,0,0,0,0,0,0
HI,15,2011,0,0,0,0,0,0,0
HI,15,2012,0,0,0,0,0,0,0
HI,15,2013,0,0,0,0,0,0,0
HI,15,2014,0,0,0,0,0,0,0
HI,15,2015,0,0,0,0,0,0,0
