STATE,STCODE,YEAR,TOTINC,TOTINJ,TOTKLD,VEHAUTO,VEHOTHER,VEHPED,VEHTRUCK,EQFREIGHT,EQOTHER,EQPSGR,EQYDMAINT
AL,01,2016,67,40,9,33,4,4,26,54,2,7,4
AL,01,2017,57,22,8,39,4,4,10,48,3,3,3
AL,01,2018,71,37,11,46,4,3,18,61,3,5,2
AL,01,2019,74,33,7,37,3,4,30,69,3,1,1
AL,01,2020,72,22,3,39,5,1,27,61,7,1,3
AK,02,2016,0,0,0,0,0,0,0,0,0,0,0
AK,02,2017,1,0,0,1,0,0,0,1,0,0,0
AK,02,2018,0,0,0,0,0,0,0,0,0,0,0
AK,02,2019,0,0,0,0,0,0,0,0,0,0,0
AK,02,2020,1,0,0,0,0,0,1,1,0,0,0
AZ,04,2016,21,5,4,12,2,4,3,16,3,0,2
AZ,04,2017,26,8,5,10,2,8,6,20,4,0,2
AZ,04,2018,19,6,3,9,1,4,5,13,1,0,5
AZ,04,2019,12,2,4,6,0,2,4,12,0,0,0
AZ,04,2020,27,9,6,14,0,8,5,21,4,0,2
AR,05,2016,31,21,11,11,1,0,19,26,0,1,4
AR,05,2017,41,14,11,15,4,1,21,38,0,2,1
AR,05,2018,39,16,9,21,3,0,15,31,4,2,2
AR,05,2019,29,13,3,11,1,0,17,26,2,0,1
AR,05,2020,32,18,2,13,1,0,18,22,2,3,5
CA,06,2016,149,62,60,46,13,60,30,62,3,81,3
CA,06,2017,151,55,45,61,12,54,24,64,1,82,4
CA,06,2018,163,60,47,67,10,56,30,61,2,99,1
CA,06,2019,154,65,65,60,9,65,20,53,7,87,7
CA,06,2020,131,49,39,47,10,45,29,64,0,64,3
CO,08,2016,16,11,6,10,2,1,3,9,2,3,2
CO,08,2017,20,9,5,7,0,3,10,15,1,3,1
CO,08,2018,23,6,5,8,2,1,12,22,0,1,0
CO,08,2019,29,14,10,10,1,5,13,23,1,5,0
CO,08,2020,16,8,3,3,3,3,7,11,0,5,0
CT,09,2016,4,1,0,3,0,0,1,1,1,2,0
CT,09,2017,2,0,0,2,0,0,0,1,0,1,0
CT,09,2018,4,2,1,2,0,1,1,1,0,1,2
CT,09,2019,7,1,0,4,1,0,2,4,0,2,1
CT,09,2020,1,0,0,1,0,0,0,0,0,1,0
DE,10,2016,5,4,0,3,1,0,1,5,0,0,0
